topic,score
amy schumer,0.6538461538461539
ant-man,0.8125
bad blood,0.5882352941176471
bee gees,1.0
big brother,0.618421052631579
boko haram,0.40458015267175573
briana,0.6590909090909091
brock lesnar,0.6071428571428571
caitlyn jenner,0.7481884057971014
calibraska,1.0
carly fiorina,0.7647058823529411
cate blanchett,0.5
charlie hebdo,0.6191860465116279
chris evans,0.6851851851851851
christians,0.6827272727272727
chuck norris,0.8333333333333333
curtis,0.6153846153846154
dana white,0.7
dark souls,0.6428571428571428
david bowie,0.6666666666666666
david price,0.5
david wright,0.5
dean ambrose,0.5
dunkin,0.5555555555555556
dustin johnson,0.6935483870967742
ed sheeran,0.5
eid,0.625
floyd mayweather,0.6901901901901902
foo fighters,0.5
frank gifford,0.6
frank ocean,0.5394736842105263
gay,0.7055555555555555
george harrison,0.5
george osborne,0.8064516129032258
gucci,0.6111111111111112
hulk hogan,0.7172727272727273
ice cube,0.5714285714285714
ira,0.8333333333333333
iran,0.7775956284153005
iron maiden,0.5
islam,0.7461636828644501
israel,0.7577777777777778
janet jackson,0.6666666666666666
jason aldean,0.5
john cena,0.5792011019283747
john kasich,0.65625
josh hamilton,0.75
justin bieber,0.5740740740740741
kane,0.685483870967742
kanye west,0.7533199195171025
katy perry,0.7142857142857143
kendrick,0.546875
kendrick lamar,0.59375
kim kardashian,0.7391304347826086
kpop,0.6666666666666666
kris bryant,0.5625
lady gaga,0.5
milan,0.6388888888888888
miss usa,0.5833333333333334
moto g,0.5
murray,0.6666666666666666
muslims,0.7604166666666667
naruto,0.6
national hot dog day,0.5
national ice cream day,1.0
niall,0.5357142857142857
nicki,0.651199494949495
nirvana,0.6666666666666666
paper towns,0.5
paul dunne,0.5
paul mccartney,0.5
prince george,0.5
ps4,0.85
rahul gandhi,0.7150621118012422
randy orton,0.6428571428571428
real madrid,0.78125
red sox,0.6590909090909091
rolling stone,0.6875
rousey,0.6086956521739131
ryan braun,0.7222222222222222
sam smith,0.5882352941176471
saudi arabia,0.5992063492063493
scott walker,0.7158119658119658
seth rollins,0.5625
sharknado,0.6538461538461539
shawn,0.5
star wars day,1.0
super eagles,0.75
the vamps,0.5
thor,0.6111111111111112
tom brady,0.7575757575757576
tony blair,0.5769230769230769
twilight,0.625
u2,0.625
watchman,0.7
white sox,0.6666666666666666
yakub,0.775
yoga,0.5
zac brown band,1.0
zayn,0.55
mean,0.65047152653211
